,wb_subclass_label,wb_cluster_label,x,y
100020158404326078750802076879389075883,111_HY/TH Gnb3,1564_HY/TH Gnb3,-63185.2030404497,40182.552798191486
10002520840220839878083122332048210468,138_TH Prkcd_Grin2c,2010_TH Prkcd_Grin2c,-61954.87031153495,39823.83074356116
100052907796345009204115581172772264728,279_Astro,3933_Astro,-62058.01432758307,39111.59764214319
10005301756916783307846183551170104046,276_Oligo,3914_Oligo,-59298.61147238893,40764.11220963495
100053316887198802795606434943347634591,275_OPC,3894_OPC,-61638.65321216741,38789.05204333931
100081418426339402633994124175906720536,279_Astro,3933_Astro,-63487.66670802121,39829.22203635734
1001042015266313038622074720674398111,128_TH MH_Tac2,1840_TH MH_Tac2,-61219.548772811206,40434.13037705668
100110728490307336017074451084055733315,111_HY/TH Gnb3,1564_HY/TH Gnb3,-63150.73565723247,39273.98659558359
100128090641310488241214809522867327523,138_TH Prkcd_Grin2c,2000_TH Prkcd_Grin2c,-62219.04147251117,40627.54048320911
100172264146256683244851550864035906138,128_TH MH_Tac2,1839_TH MH_Tac2,-61187.78408935404,40486.113891341505
100200464689229996539876830691995086638,276_Oligo,3913_Oligo,-60693.63470539445,40575.20493077747
1002092290094831042393231994968459089,111_HY/TH Gnb3,1566_HY/TH Gnb3,-63191.99776487175,40293.23453514006
100216326748734114615204245110346679015,138_TH Prkcd_Grin2c,2023_TH Prkcd_Grin2c,-60524.638664596576,39685.963526358704
100232998151191726221851064891996529953,279_Astro,3949_Astro,-60968.44603992724,38991.29517202805
100264728800395431678906382144226823091,138_TH Prkcd_Grin2c,1999_TH Prkcd_Grin2c,-60160.82574643327,40652.56291875813
100285241665700165946984536164303982741,137_TH_Rxfp1_Epb4,1965_TH_Rxfp1_Epb4,-60813.82691134087,38751.03744531131
100301022948965145660672877216015068358,279_Astro,3933_Astro,-60717.445303394976,39889.43531562119
100320718437598178974934389361555602555,285_Endo,4017_Endo,-59603.070888145485,40481.86504018062
100324445346602372345425211863943989710,279_Astro,3950_Astro,-62352.30414464043,39372.17528271964
100338842275094459455078623822180419879,134_TH PVT_Ntrk1,1935_TH PVT_Ntrk1,-61244.768509904585,38504.02659471761
100341108949550482808739860108569107930,276_Oligo,3913_Oligo,-62917.55337117852,39642.74025187887
100349084795776707089817592614720434712,137_TH_Rxfp1_Epb4,1975_TH_Rxfp1_Epb4,-61191.85949868155,38717.38352628068
100360988966658567429290870694165922262,138_TH Prkcd_Grin2c,2010_TH Prkcd_Grin2c,-60774.74216727609,39699.72078571273
10037280648111184055196710998037101890,138_TH Prkcd_Grin2c,2005_TH Prkcd_Grin2c,-60101.04191314175,40147.55574302364
100394377089305354210019827014397214046,128_TH MH_Tac2,1839_TH MH_Tac2,-61197.87950141949,40518.405118612645
10042729742041381130182943340299148502,276_Oligo,3914_Oligo,-58631.174049911686,39591.19757080674
100429308029691938617077804810007035374,279_Astro,3950_Astro,-61300.42368009749,39921.34550819227
100468410693673852447615302421376811079,138_TH Prkcd_Grin2c,1997_TH Prkcd_Grin2c,-61899.00034794649,38800.658308897146
100469852002791710953787453608911889337,276_Oligo,3914_Oligo,-59582.518355202665,40562.47338330115
100488070642582478696436217439666238745,138_TH Prkcd_Grin2c,2013_TH Prkcd_Grin2c,-61826.755360986965,39944.48874578582
100497877102089525783823641099598184194,138_TH Prkcd_Grin2c,2007_TH Prkcd_Grin2c,-61786.08546704039,40581.56234709599
100505110811117695690090661004127478427,134_TH PVT_Ntrk1,1938_TH PVT_Ntrk1,-60979.54864455706,40256.86484114779
100520772730938404100462557325748878628,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-61925.345565460535,39434.51725273325
100523132453331976967166066144752673598,282_Micro-PVM,3982_Micro-PVM,-59207.429690404046,40424.28830500341
100531023787350162075568964466122691560,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-61573.98393660937,39600.57888024677
100553138657929034418728284690289479805,276_Oligo,3914_Oligo,-62634.35566619661,40446.483597462844
